fill_time,direction,entry,result_R,mfe_R,mae_R,RR,exit_time,TP1_R,R_abs_bps,R_abs_ATR,body_ratio,close_strength,h1_context,m15_zone
2025-09-10 13:58:00,short,113977.0,-1.2678,2.5432,1.3397,5.6297,2025-09-11 03:57:00,5.629707942381403,29.875764408608703,1.1498058416343155,0.9432341851696866,0.9436531210724874,bullish,upper_edge
2025-09-12 00:56:00,short,115980.0,-1.2909,4.0716,1.0398,5.597,2025-09-12 18:31:00,5.597027461045795,27.497782868968066,1.6856835428701016,0.7641535487434207,0.9030654515327112,bullish,upper_edge
2025-09-17 18:34:00,long,115325.5,-1.1697,0.4113,1.2918,1.8221,2025-09-17 18:46:00,1.8221429725883462,47.13534424613096,1.427095092542249,0.4854456698607796,0.9068884469354557,bearish,lower_edge
2025-10-09 15:16:00,long,121177.3,-1.174,0.3021,1.0442,4.5997,2025-10-09 15:46:00,4.599655659125579,45.97991066455081,1.1912478428857336,0.6548318206086469,0.8027229044313733,bullish,lower_edge
2025-10-11 07:28:00,long,110894.2,-1.2741,1.0795,1.1228,7.4335,2025-10-11 07:37:00,7.433499809100992,29.186055589149536,0.9673968274301225,0.313315926892953,0.8761241659414057,bearish,lower_edge
2025-10-14 10:43:00,long,110270.3,-1.2651,3.8796,1.4074,8.3882,2025-10-14 13:38:00,8.388249058142554,30.174878069099165,1.0516649734733516,0.7786695202425684,0.9835919386481236,bearish,lower_edge
2025-10-14 14:44:00,short,111838.4,-1.241,2.2616,1.0981,5.4848,2025-10-14 15:44:00,5.484756549191241,33.19821916520405,0.8091862945031703,0.42667898952556227,0.9996919285274004,bearish,upper_edge
2025-10-16 16:41:00,long,107850.5,-1.2155,3.4028,1.2503,10.2662,2025-10-16 20:35:00,10.266215331247984,37.11559718578685,0.7539398097698093,0.6804629266378819,0.6979207532365651,bearish,lower_edge
2025-10-20 17:23:00,long,110326.2,-1.2845,0.5286,1.5155,4.2634,2025-10-20 17:38:00,4.263373689796296,28.123031001313443,0.9106668902911862,0.8204172876304093,0.8207898658718075,bullish,lower_edge
2025-10-28 03:15:00,long,113710.0,-1.3623,1.2905,1.1471,3.5552,2025-10-28 05:56:00,3.5551534704026877,22.080040705051573,1.3518749278873934,0.5650867052023323,0.8742196531792042,bearish,lower_edge
2025-11-04 18:26:00,long,100585.0,-1.2113,0.5074,1.5362,11.0688,2025-11-04 18:34:00,11.068823283357116,37.85845660031632,0.8314524555903805,0.6105751391465515,0.7888682745825549,bearish,lower_edge
2025-11-04 20:21:00,long,99980.0,-1.1479,2.0287,1.4422,8.9123,2025-11-04 21:32:00,8.912286355405874,54.09346154945238,1.2453854630985004,0.3365711996795456,0.6634288003204545,bearish,lower_edge
2025-11-07 18:03:00,short,102457.2,-1.3067,0.4733,1.0787,12.187,2025-11-07 18:10:00,12.186959647439698,26.085944737342313,0.7328613118671237,0.8761589403973381,0.8761589403973381,bearish,upper_edge
2025-11-19 05:56:00,long,90302.0,-1.2007,5.685,1.1502,7.04,2025-11-19 15:56:00,7.039979996110476,39.85847489535038,1.5040952778938292,0.6477884390358086,0.7900772291130436,bearish,lower_edge
